date,open,high,low,close,volume,factor
2018-09-12,108.429,108.5383,108.2924,108.3288,10000,1
2018-09-13,108.6932,108.9026,108.3653,108.4928,10000,1
2018-09-14,107.8461,108.3015,107.7458,107.9736,10000,1
2018-09-17,107.6366,108.2195,107.582,107.9736,10000,1
2018-09-18,107.5274,107.5319,106.7076,106.8443,10000,1
2018-09-19,106.6576,106.6621,105.8242,106.2067,10000,1
2018-09-20,106.1794,106.8352,106.0792,106.6985,10000,1
2018-09-21,106.4435,106.8124,106.4162,106.653,10000,1
2018-09-24,106.3251,106.8078,106.3069,106.3798,10000,1
2018-09-25,106.0883,106.3251,106.0154,106.2705,10000,1
2018-09-26,106.4982,107.0902,106.2523,107.0173,10000,1
2018-09-27,106.7805,107.1539,106.653,107.0902,10000,1
2018-09-28,107.3361,107.3907,106.7623,106.8078,10000,1
2018-10-01,106.4891,106.6443,105.9962,106.0235,10000,1
2018-10-02,106.4982,106.9181,106.4343,106.6716,10000,1
2018-10-03,106.1331,106.2152,104.2801,104.8186,10000,1
2018-10-04,104.1797,104.417,103.7963,104.0792,10000,1
2018-10-05,103.5042,103.8054,102.8013,103.1847,10000,1
2018-10-08,103.139,103.2486,102.8196,102.8378,10000,1
2018-10-09,103.276,103.9241,103.2121,103.8784,10000,1
2018-10-10,103.276,103.673,102.9519,103.5955,10000,1
2018-10-11,104.061,105.1107,103.8693,104.8551,10000,1
2018-10-12,104.417,104.9829,104.3166,104.49,10000,1
2018-10-15,104.6635,104.8066,104.3257,104.4444,10000,1
2018-10-16,104.417,104.7182,104.207,104.6817,10000,1
2018-10-17,104.6635,104.7776,104.0427,104.061,10000,1
2018-10-18,103.7141,104.417,103.6502,104.0245,10000,1
2018-10-19,103.9241,104.0154,103.5227,103.7963,10000,1
2018-10-22,104.0154,104.134,103.632,103.6594,10000,1
2018-10-23,104.7547,104.9921,103.9149,103.988,10000,1
2018-10-24,104.3896,104.8095,104.2801,104.773,10000,1
2018-10-25,104.5539,104.7365,104.2709,104.3348,10000,1
2018-10-26,104.9099,105.2659,104.7821,104.9647,10000,1
2018-10-29,104.8278,104.9921,104.2983,104.7273,10000,1
2018-10-30,104.2983,104.5539,104.0792,104.207,10000,1
2018-10-31,103.8237,104.0245,103.3399,103.6776,10000,1
2018-11-01,103.2609,103.9106,103.2517,103.7734,10000,1
2018-11-02,103.5537,103.6361,102.3917,102.4832,10000,1
2018-11-05,102.9224,103.1328,102.8034,102.8858,10000,1
2018-11-06,103.0322,103.1511,102.7881,102.8217,10000,1
2018-11-07,103.572,103.7642,102.8574,102.959,10000,1
2018-11-08,103.3616,103.3707,102.8583,102.9498,10000,1
2018-11-09,103.1694,103.8527,103.142,103.7185,10000,1
2018-11-12,104.2675,104.5969,104.2309,104.3956,10000,1
2018-11-13,104.0479,104.3315,103.8415,104.3315,10000,1
2018-11-14,103.8374,104.789,103.6727,104.3956,10000,1
2018-11-15,104.7158,104.8073,104.0204,104.3498,10000,1
2018-11-16,104.4962,105.0544,104.24,104.9537,10000,1
2018-11-19,104.6884,105.2466,104.6884,105.2466,10000,1
2018-11-20,105.4479,105.6492,105.1642,105.2832,10000,1
2018-11-21,105.1276,105.3106,104.8073,105.2466,10000,1
2018-11-23,105.8413,105.9237,105.3106,105.3564,10000,1
2018-11-26,105.1001,105.2832,105.0269,105.1184,10000,1
2018-11-27,105.0544,105.457,105.0086,105.2374,10000,1
2018-11-28,105.091,105.2466,104.6426,104.725,10000,1
2018-11-29,105.155,105.457,104.8531,105.1367,10000,1
2018-11-30,105.5119,105.6126,105.2099,105.5302,10000,1
2018-12-03,105.1788,106.2794,105.1605,106.2794,10000,1
2018-12-04,107.1324,108.8383,106.9627,108.0587,10000,1
2018-12-06,108.719,109.3243,108.343,108.398,10000,1
2018-12-07,108.0495,108.7099,107.7835,108.5998,10000,1
2018-12-10,109.0217,109.3977,108.6273,109.0492,10000,1
2018-12-11,109.1134,109.4894,108.7832,109.0309,10000,1
2018-12-12,108.7557,108.8841,108.4439,108.5448,10000,1
2018-12-13,108.6457,108.7557,108.2054,108.288,10000,1
2018-12-14,108.7282,108.93,108.4255,108.664,10000,1
2018-12-17,108.7649,109.4161,108.7557,109.2968,10000,1
2018-12-18,109.464,110.1213,109.3445,109.9512,10000,1
2018-12-19,110.4201,111.845,110.2454,111.4038,10000,1
